ID,Ns.SNP,Xs.SNP,prop.SNP,Ns.WGS,Xs.WGS,prop.WGS
K0262922_1704,0,1,0,10,662,0.000371540033438603
K0262922_1705,0,0,0,13,449,0.000479209672662931
K0262932_1611,0,35,0,NA,NA,NA
K0262935_1612,0,32,0,NA,NA,NA
K0262935_1702,4,36,0.0754716981132075,NA,NA,NA
K0262939_1412,4,49,0.1,NA,NA,NA
K0262940_1511,1,3,0.0116279069767442,17,2381,0.000674710271471662
K0262940_1512,0,0,0,26,270,0.000952136814736148
K0262940_1603,0,11,0,NA,NA,NA
K0262940_1605,0,14,0,NA,NA,NA
K0262940_1612,0,58,0,NA,NA,NA
K0262940_1701,5,33,0.0892857142857143,NA,NA,NA
K0262940_1702,4,30,0.0677966101694915,NA,NA,NA
K0262940_1703,0,25,0,0,22663,0
K0262940_1704,1,12,0.012987012987013,448,6545,0.0213008748573602
K0262941_1702,4,48,0.0975609756097561,NA,NA,NA
K0262941_1705,7,36,0.132075471698113,NA,NA,NA
K0263004_1511,0,1,0,16,1271,0.000608226260168783
K0263004_1512,0,0,0,44,116,0.00160227231346273
K0263004_1603,0,8,0,NA,NA,NA
K0263008_1612,0,18,0,1,10913,6.00096015362458e-05
K0263008_1701,NA,NA,NA,3,17043,0.000284792101765711
K0263008_1702,0,36,0,NA,NA,NA
K0263008_1703,0,33,0,NA,NA,NA
K0263008_1704,0,17,0,3,9167,0.000162954915806627
K0263008_1705,0,22,0,3,13851,0.00021856331050561
K0263111_1612,0,52,0,NA,NA,NA
K0263111_1705,4,37,0.0769230769230769,NA,NA,NA
K0273207_1511,0,46,0,NA,NA,NA
K0273207_1605,0,15,0,NA,NA,NA
K0283310_1511,0,18,0,NA,NA,NA
K0283406_1512,9,0,0.101123595505618,1568,54,0.0569705337354213
K0303507_1603,23,13,0.302631578947368,NA,NA,NA
K0303507_1605,0,25,0,NA,NA,NA
K0303507_1607,0,41,0,NA,NA,NA
